,abbreviation,assist_percentage,assists,away_losses,away_wins,block_percentage,blocks,defensive_rebounds,effective_field_goal_percentage,field_goal_attempts,field_goal_percentage,field_goals,free_throw_attempt_rate,free_throw_attempts,free_throw_percentage,free_throws,free_throws_per_field_goal_attempt,home_losses,home_wins,losses,offensive_rating,offensive_rebound_percentage,offensive_rebounds,opp_assist_percentage,opp_assists,opp_block_percentage,opp_blocks,opp_defensive_rebounds,opp_effective_field_goal_percentage,opp_field_goal_attempts,opp_field_goal_percentage,opp_field_goals,opp_free_throw_attempt_rate,opp_free_throw_attempts,opp_free_throw_percentage,opp_free_throws,opp_free_throws_per_field_goal_attempt,opp_offensive_rebound_percentage,opp_offensive_rebounds,opp_personal_fouls,opp_points,opp_steal_percentage,opp_steals,opp_three_point_attempt_rate,opp_three_point_field_goal_attempts,opp_three_point_field_goal_percentage,opp_three_point_field_goals,opp_two_point_field_goal_attempts,opp_two_point_field_goal_percentage,opp_two_point_field_goals,opp_total_rebound_percentage,opp_total_rebounds,opp_true_shooting_percentage,opp_turnover_percentage,opp_turnovers,pace,personal_fouls,points,simple_rating_system,steal_percentage,steals,strength_of_schedule,three_point_attempt_rate,three_point_field_goal_attempts,three_point_field_goal_percentage,three_point_field_goals,two_point_field_goal_attempts,two_point_field_goal_percentage,two_point_field_goals,total_rebound_percentage,total_rebounds,true_shooting_percentage,turnover_percentage,turnovers,win_percentage,wins
TEMPLE,TEMPLE,0.528,0.3054263565891473,1,3,0.136,0.12403100775193798,0.641860465116279,0.47,1.3968992248062015,0.414,0.5782945736434109,0.378,0.5286821705426357,0.698,0.3689922480620155,0.264,3,6,6,101.6,0.331,0.2930232558139535,0.578,0.3395348837209302,0.07200000000000001,0.06201550387596899,0.5922480620155038,0.46,1.468217054263566,0.4,0.5875968992248062,0.275,0.40310077519379844,0.719,0.289922480620155,0.197,0.315,0.29457364341085274,0.4682170542635659,1.6418604651162791,0.08800000000000001,0.14573643410852713,0.378,0.5550387596899224,0.318,0.17674418604651163,0.9131782945736434,0.45,0.4108527131782946,0.48700000000000004,0.8868217054263566,0.495,0.14800000000000002,0.28837209302325584,66.2,0.4449612403100775,1.682170542635659,4.51,0.10099999999999999,0.16744186046511628,2.89,0.38,0.5302325581395348,0.295,0.15658914728682172,0.8666666666666667,0.487,0.42170542635658914,0.513,0.9348837209302325,0.51,0.155,0.3023255813953488,0.625,10
TENNESSEE-MARTIN,TENNESSEE-MARTIN,0.465,0.31875,7,2,0.125,0.1125,0.6390625,0.499,1.559375,0.44,0.6859375,0.221,0.3453125,0.67,0.23125,0.148,2,3,10,99.0,0.285,0.2703125,0.56,0.3671875,0.13,0.1265625,0.678125,0.512,1.484375,0.442,0.65625,0.319,0.4734375,0.719,0.340625,0.229,0.276,0.24375,0.3484375,1.859375,0.098,0.1765625,0.395,0.5859375,0.352,0.20625,0.8984375,0.501,0.45,0.503,0.921875,0.544,0.171,0.3515625,72.3,0.4171875,1.7890625,-9.84,0.105,0.1890625,-0.34,0.377,0.5875,0.316,0.1859375,0.971875,0.514,0.5,0.49700000000000005,0.909375,0.519,0.168,0.346875,0.375,6
TENNESSEE-STATE,TENNESSEE-STATE,0.449,0.30619469026548674,5,2,0.09699999999999999,0.08141592920353982,0.6690265486725664,0.537,1.4442477876106194,0.472,0.6814159292035398,0.382,0.552212389380531,0.718,0.39646017699115044,0.275,2,4,8,106.1,0.282,0.23185840707964603,0.494,0.2991150442477876,0.076,0.07256637168141593,0.5893805309734513,0.504,1.384070796460177,0.437,0.6053097345132743,0.423,0.5858407079646017,0.716,0.4194690265486726,0.303,0.239,0.21061946902654868,0.4584070796460177,1.8141592920353982,0.09699999999999999,0.17876106194690267,0.394,0.5451327433628319,0.338,0.184070796460177,0.8389380530973451,0.502,0.42123893805309737,0.47,0.8,0.546,0.184,0.3752212389380531,73.5,0.504424778761062,1.9486725663716815,-13.54,0.091,0.1663716814159292,-11.79,0.342,0.49380530973451325,0.384,0.18938053097345134,0.9504424778761061,0.518,0.4920353982300885,0.53,0.9008849557522124,0.571,0.179,0.37168141592920356,0.429,6
TENNESSEE-TECH,TENNESSEE-TECH,0.588,0.42095238095238097,7,0,0.09300000000000001,0.08190476190476191,0.6323809523809524,0.5,1.601904761904762,0.447,0.7161904761904762,0.199,0.3180952380952381,0.665,0.21142857142857144,0.132,2,3,10,101.6,0.32899999999999996,0.30666666666666664,0.575,0.3923809523809524,0.08,0.08761904761904762,0.6247619047619047,0.52,1.5066666666666666,0.453,0.6819047619047619,0.215,0.3238095238095238,0.7,0.22666666666666666,0.15,0.262,0.22476190476190477,0.3352380952380952,1.7942857142857143,0.10099999999999999,0.18095238095238095,0.415,0.6247619047619047,0.326,0.2038095238095238,0.8819047619047619,0.542,0.4780952380952381,0.475,0.8495238095238096,0.54,0.177,0.35619047619047617,71.4,0.3466666666666667,1.8133333333333332,-5.9,0.102,0.18285714285714286,2.1,0.313,0.5009523809523809,0.338,0.16952380952380952,1.100952380952381,0.497,0.5466666666666666,0.525,0.939047619047619,0.517,0.159,0.3314285714285714,0.231,3
TENNESSEE,TENNESSEE,0.621,0.4278688524590164,2,1,0.14800000000000002,0.11967213114754098,0.6360655737704918,0.506,1.5770491803278688,0.437,0.6885245901639344,0.242,0.3819672131147541,0.665,0.2540983606557377,0.161,0,9,4,105.4,0.316,0.2983606557377049,0.512,0.27377049180327867,0.07200000000000001,0.06393442622950819,0.6459016393442623,0.462,1.3459016393442622,0.397,0.5344262295081967,0.289,0.3885245901639344,0.641,0.24918032786885247,0.185,0.262,0.2262295081967213,0.4081967213114754,1.4918032786885247,0.09,0.15737704918032788,0.401,0.5393442622950819,0.322,0.1737704918032787,0.8065573770491803,0.447,0.36065573770491804,0.483,0.8721311475409836,0.487,0.228,0.4524590163934426,70.2,0.3836065573770492,1.8508196721311476,21.46,0.149,0.26229508196721313,6.86,0.433,0.6836065573770492,0.321,0.21967213114754097,0.8934426229508197,0.525,0.46885245901639344,0.517,0.9344262295081968,0.526,0.14400000000000002,0.29508196721311475,0.733,11
TEXAS-AM-CORPUS-CHRISTI,TEXAS-AM-CORPUS-CHRISTI,0.5770000000000001,0.4088235294117647,3,3,0.078,0.05588235294117647,0.6161764705882353,0.525,1.5102941176470588,0.469,0.7088235294117647,0.367,0.5544117647058824,0.732,0.40588235294117647,0.269,0,6,4,109.4,0.327,0.2911764705882353,0.612,0.35,0.096,0.09852941176470588,0.5985294117647059,0.501,1.3441176470588236,0.426,0.5720588235294117,0.359,0.4823529411764706,0.729,0.3514705882352941,0.261,0.276,0.23529411764705882,0.49411764705882355,1.6985294117647058,0.08199999999999999,0.14852941176470588,0.466,0.6264705882352941,0.324,0.20294117647058824,0.7176470588235294,0.514,0.36911764705882355,0.479,0.8338235294117647,0.54,0.23399999999999999,0.47941176470588237,72.9,0.4970588235294118,1.9926470588235294,-3.51,0.135,0.24558823529411763,-6.89,0.32,0.4838235294117647,0.35,0.16911764705882354,1.026470588235294,0.526,0.5397058823529411,0.521,0.9073529411764706,0.562,0.163,0.34558823529411764,0.765,13
TEXAS-AM,TEXAS-AM,0.5579999999999999,0.3861538461538462,0,2,0.121,0.09846153846153846,0.5846153846153846,0.541,1.4584615384615385,0.475,0.6923076923076923,0.33,0.4815384615384615,0.636,0.30615384615384617,0.21,0,10,2,109.5,0.34700000000000003,0.2923076923076923,0.635,0.3476923076923077,0.091,0.08615384615384615,0.5492307692307692,0.468,1.3553846153846154,0.404,0.5476923076923077,0.277,0.37538461538461537,0.738,0.27692307692307694,0.204,0.314,0.2676923076923077,0.40307692307692305,1.5461538461538462,0.096,0.1646153846153846,0.4,0.5415384615384615,0.321,0.17384615384615384,0.8138461538461539,0.459,0.37384615384615383,0.48200000000000004,0.816923076923077,0.504,0.231,0.46,68.9,0.3984615384615385,1.8846153846153846,10.41,0.154,0.26461538461538464,-0.92,0.349,0.5092307692307693,0.381,0.19384615384615383,0.9492307692307692,0.525,0.49846153846153846,0.518,0.8769230769230769,0.559,0.161,0.3230769230769231,0.875,14
TEXAS-ARLINGTON,TEXAS-ARLINGTON,0.569,0.34796747967479674,7,2,0.134,0.12195121951219512,0.7528455284552845,0.475,1.4308943089430894,0.427,0.6113821138211382,0.283,0.40487804878048783,0.683,0.2764227642276423,0.193,1,5,8,94.6,0.289,0.2682926829268293,0.619,0.36260162601626017,0.078,0.07642276422764227,0.6601626016260163,0.458,1.494308943089431,0.392,0.5853658536585366,0.288,0.43089430894308944,0.721,0.3105691056910569,0.208,0.27399999999999997,0.2845528455284553,0.42276422764227645,1.6780487804878048,0.11199999999999999,0.19349593495934958,0.392,0.5853658536585366,0.336,0.1967479674796748,0.9089430894308943,0.428,0.3886178861788618,0.48100000000000004,0.9447154471544715,0.494,0.157,0.3170731707317073,69.1,0.44552845528455287,1.6357723577235772,-4.99,0.10099999999999999,0.17398373983739837,3.01,0.315,0.4504065040650406,0.303,0.13658536585365855,0.9804878048780488,0.484,0.47479674796747967,0.519,1.021138211382114,0.504,0.185,0.36910569105691055,0.467,7
TEXAS-CHRISTIAN,TEXAS-CHRISTIAN,0.557,0.36923076923076925,0,2,0.12300000000000001,0.10961538461538461,0.6846153846153846,0.481,1.5442307692307693,0.43,0.6634615384615384,0.303,0.4673076923076923,0.683,0.3192307692307692,0.207,1,6,2,104.9,0.40700000000000003,0.38269230769230766,0.525,0.3076923076923077,0.085,0.08846153846153847,0.5576923076923077,0.474,1.4288461538461539,0.41,0.5865384615384616,0.218,0.31153846153846154,0.667,0.2076923076923077,0.145,0.23399999999999999,0.20961538461538462,0.4096153846153846,1.5615384615384615,0.094,0.16153846153846155,0.377,0.5384615384615384,0.336,0.18076923076923077,0.8903846153846153,0.456,0.40576923076923077,0.418,0.7673076923076924,0.495,0.182,0.35192307692307695,68.9,0.34807692307692306,1.8057692307692308,10.28,0.098,0.16923076923076924,0.51,0.329,0.5076923076923077,0.314,0.1596153846153846,1.0365384615384616,0.486,0.5038461538461538,0.5820000000000001,1.0673076923076923,0.511,0.162,0.3403846153846154,0.846,11
TEXAS-EL-PASO,TEXAS-EL-PASO,0.48200000000000004,0.2916666666666667,3,2,0.096,0.08166666666666667,0.6,0.482,1.46,0.414,0.605,0.292,0.4266666666666667,0.766,0.32666666666666666,0.224,3,6,7,99.8,0.259,0.23166666666666666,0.47100000000000003,0.2733333333333333,0.069,0.06166666666666667,0.6616666666666666,0.507,1.2966666666666666,0.447,0.58,0.387,0.5016666666666667,0.615,0.30833333333333335,0.238,0.259,0.21,0.4033333333333333,1.6233333333333333,0.08900000000000001,0.155,0.344,0.44666666666666666,0.347,0.155,0.85,0.5,0.425,0.512,0.8716666666666667,0.529,0.21,0.4083333333333333,69.6,0.4633333333333333,1.735,0.42,0.11800000000000001,0.205,0.11,0.39,0.57,0.348,0.19833333333333333,0.89,0.457,0.4066666666666667,0.488,0.8316666666666667,0.522,0.159,0.31333333333333335,0.533,8
TEXAS-PAN-AMERICAN,TEXAS-PAN-AMERICAN,0.488,0.309375,6,2,0.071,0.0671875,0.6375,0.503,1.4296875,0.444,0.634375,0.385,0.55,0.688,0.378125,0.264,4,2,11,97.6,0.23199999999999998,0.20625,0.579,0.4015625,0.107,0.096875,0.6828125,0.511,1.5421875,0.45,0.69375,0.369,0.56875,0.714,0.40625,0.263,0.315,0.29375,0.5125,1.98125,0.08900000000000001,0.165625,0.39,0.6015625,0.312,0.1875,0.940625,0.538,0.50625,0.536,0.9765625,0.547,0.159,0.34375,74.4,0.5109375,1.8171875,-7.95,0.066,0.1234375,1.83,0.364,0.5203125,0.327,0.1703125,0.909375,0.51,0.4640625,0.46399999999999997,0.84375,0.537,0.18100000000000002,0.3734375,0.313,5
TEXAS-SAN-ANTONIO,TEXAS-SAN-ANTONIO,0.451,0.2828125,4,0,0.077,0.071875,0.675,0.435,1.621875,0.386,0.6265625,0.286,0.4640625,0.704,0.3265625,0.201,5,6,9,95.9,0.32299999999999995,0.3453125,0.547,0.3703125,0.07400000000000001,0.0796875,0.7234375,0.513,1.51875,0.445,0.6765625,0.26,0.3953125,0.589,0.2328125,0.153,0.26899999999999996,0.2484375,0.41875,1.7921875,0.09699999999999999,0.175,0.386,0.5859375,0.352,0.20625,0.9328125,0.504,0.4703125,0.488,0.971875,0.525,0.168,0.3453125,72.5,0.3703125,1.7375,-13.78,0.085,0.1546875,-3.28,0.333,0.540625,0.292,0.1578125,1.08125,0.434,0.46875,0.512,1.0203125,0.472,0.15,0.325,0.438,7
TEXAS-SOUTHERN,TEXAS-SOUTHERN,0.42,0.26153846153846155,8,3,0.142,0.11923076923076924,0.676923076923077,0.477,1.4384615384615385,0.433,0.6230769230769231,0.307,0.4423076923076923,0.674,0.2980769230769231,0.207,0,2,8,96.8,0.348,0.3096153846153846,0.541,0.3192307692307692,0.07400000000000001,0.07692307692307693,0.5788461538461539,0.471,1.4461538461538461,0.408,0.5903846153846154,0.351,0.5076923076923077,0.663,0.33653846153846156,0.233,0.264,0.2423076923076923,0.45384615384615384,1.698076923076923,0.111,0.19230769230769232,0.418,0.6038461538461538,0.299,0.18076923076923077,0.8423076923076923,0.486,0.4096153846153846,0.45399999999999996,0.8211538461538461,0.503,0.141,0.27692307692307694,69.0,0.4673076923076923,1.6692307692307693,-2.29,0.067,0.11538461538461539,-1.13,0.279,0.40192307692307694,0.311,0.125,1.0365384615384616,0.481,0.4980769230769231,0.546,0.9865384615384616,0.506,0.191,0.3903846153846154,0.385,5
TEXAS-STATE,TEXAS-STATE,0.461,0.3211538461538462,3,2,0.114,0.09038461538461538,0.6,0.532,1.4557692307692307,0.478,0.6961538461538461,0.262,0.38076923076923075,0.763,0.2903846153846154,0.199,1,5,4,108.3,0.335,0.2692307692307692,0.502,0.27884615384615385,0.06,0.06153846153846154,0.5346153846153846,0.495,1.3,0.428,0.5557692307692308,0.34,0.4423076923076923,0.691,0.3057692307692308,0.235,0.262,0.21346153846153845,0.42115384615384616,1.5923076923076922,0.08900000000000001,0.1519230769230769,0.389,0.5057692307692307,0.346,0.175,0.7942307692307692,0.479,0.38076923076923075,0.46299999999999997,0.7480769230769231,0.527,0.21,0.40192307692307694,67.9,0.425,1.8384615384615384,-0.24,0.1,0.16923076923076924,0.06,0.299,0.4346153846153846,0.358,0.15576923076923077,1.021153846153846,0.529,0.5403846153846154,0.537,0.8692307692307693,0.562,0.168,0.33076923076923076,0.692,9
TEXAS-TECH,TEXAS-TECH,0.552,0.3768595041322314,2,1,0.114,0.07272727272727272,0.6628099173553719,0.539,1.4264462809917355,0.479,0.6826446280991736,0.342,0.48760330578512395,0.661,0.32231404958677684,0.226,0,9,3,109.8,0.376,0.3074380165289256,0.5660000000000001,0.27603305785123966,0.071,0.06446280991735537,0.5107438016528926,0.458,1.2892561983471074,0.378,0.48760330578512395,0.323,0.41652892561983473,0.651,0.27107438016528923,0.21,0.23600000000000002,0.2049586776859504,0.46942148760330576,1.4512396694214875,0.087,0.14710743801652892,0.505,0.6512396694214876,0.315,0.2049586776859504,0.6380165289256199,0.443,0.28264462809917357,0.425,0.715702479338843,0.488,0.217,0.4132231404958678,67.8,0.4099173553719008,1.859504132231405,17.38,0.122,0.2066115702479339,0.92,0.363,0.5173553719008265,0.332,0.171900826446281,0.9090909090909091,0.562,0.5107438016528926,0.575,0.9702479338842975,0.561,0.171,0.3421487603305785,0.8,12
TEXAS,TEXAS,0.56,0.3578125,3,1,0.10800000000000001,0.0859375,0.5953125,0.525,1.3765625,0.464,0.6390625,0.296,0.4078125,0.77,0.3140625,0.228,0,11,3,110.3,0.321,0.25,0.447,0.215625,0.083,0.071875,0.528125,0.446,1.2328125,0.392,0.4828125,0.29,0.3578125,0.629,0.225,0.183,0.276,0.2265625,0.425,1.325,0.08,0.128125,0.357,0.440625,0.305,0.134375,0.7921875,0.44,0.3484375,0.47200000000000003,0.7546875,0.472,0.23199999999999998,0.4234375,63.8,0.3765625,1.759375,17.95,0.142,0.2265625,0.57,0.368,0.50625,0.33,0.1671875,0.8703125,0.542,0.471875,0.528,0.8453125,0.56,0.147,0.2703125,0.813,13
TOLEDO,TOLEDO,0.49,0.346875,4,3,0.064,0.05625,0.75,0.513,1.546875,0.458,0.7078125,0.313,0.484375,0.774,0.375,0.242,0,6,4,110.2,0.313,0.2828125,0.522,0.3171875,0.10800000000000001,0.1140625,0.621875,0.457,1.5390625,0.395,0.6078125,0.253,0.3890625,0.659,0.25625,0.166,0.251,0.2515625,0.4484375,1.6640625,0.076,0.1359375,0.432,0.665625,0.289,0.1921875,0.8734375,0.476,0.415625,0.45799999999999996,0.8734375,0.483,0.151,0.30625,71.2,0.4015625,1.9625,6.83,0.083,0.1484375,-1.24,0.315,0.4875,0.353,0.171875,1.059375,0.506,0.5359375,0.542,1.0328125,0.552,0.14,0.2890625,0.75,12
TOWSON,TOWSON,0.535,0.334375,3,4,0.08,0.0609375,0.615625,0.514,1.415625,0.442,0.625,0.351,0.496875,0.704,0.35,0.247,1,6,5,109.7,0.364,0.303125,0.456,0.2515625,0.099,0.084375,0.5296875,0.478,1.3515625,0.408,0.5515625,0.336,0.4546875,0.722,0.328125,0.243,0.26899999999999996,0.2265625,0.4484375,1.6203125,0.062,0.1015625,0.434,0.5859375,0.323,0.1890625,0.765625,0.473,0.3625,0.451,0.75625,0.517,0.166,0.3109375,65.8,0.45,1.8046875,6.12,0.1,0.1640625,-1.26,0.397,0.5625,0.364,0.2046875,0.853125,0.493,0.4203125,0.5489999999999999,0.91875,0.546,0.149,0.2890625,0.688,11
TROY,TROY,0.552,0.3565217391304348,3,4,0.067,0.057971014492753624,0.6768115942028986,0.499,1.4797101449275363,0.437,0.6463768115942029,0.298,0.4405797101449275,0.688,0.30289855072463767,0.205,1,7,5,100.1,0.304,0.2753623188405797,0.561,0.32028985507246377,0.085,0.0782608695652174,0.6289855072463768,0.46,1.4318840579710146,0.399,0.5710144927536231,0.278,0.39855072463768115,0.676,0.26956521739130435,0.188,0.273,0.2536231884057971,0.4144927536231884,1.5869565217391304,0.11599999999999999,0.20579710144927535,0.393,0.5623188405797102,0.312,0.1753623188405797,0.8695652173913043,0.455,0.39565217391304347,0.48100000000000004,0.8826086956521739,0.489,0.19899999999999998,0.4028985507246377,71.0,0.41304347826086957,1.7782608695652173,-2.48,0.126,0.2246376811594203,-3.7,0.379,0.5608695652173913,0.326,0.1826086956521739,0.9188405797101449,0.505,0.463768115942029,0.519,0.9521739130434783,0.526,0.179,0.3681159420289855,0.706,12
TULANE,TULANE,0.49700000000000005,0.3105263157894737,3,2,0.092,0.08070175438596491,0.6087719298245614,0.514,1.4035087719298245,0.445,0.624561403508772,0.334,0.46842105263157896,0.73,0.34210526315789475,0.244,2,4,7,101.6,0.19,0.156140350877193,0.636,0.39824561403508774,0.10300000000000001,0.08947368421052632,0.6649122807017543,0.49,1.4771929824561403,0.424,0.6263157894736842,0.296,0.4368421052631579,0.727,0.3175438596491228,0.215,0.32,0.28596491228070176,0.3929824561403509,1.7649122807017543,0.077,0.13508771929824562,0.409,0.6035087719298246,0.323,0.19473684210526315,0.8736842105263158,0.494,0.43157894736842106,0.5539999999999999,0.9508771929824561,0.524,0.17800000000000002,0.3649122807017544,70.3,0.4105263157894737,1.7859649122807018,2.66,0.107,0.18771929824561404,1.81,0.383,0.5368421052631579,0.363,0.19473684210526315,0.8666666666666667,0.496,0.4298245614035088,0.446,0.7649122807017544,0.549,0.14800000000000002,0.2824561403508772,0.5,7
TULSA,TULSA,0.456,0.2892857142857143,3,0,0.073,0.05178571428571429,0.5339285714285714,0.501,1.4392857142857143,0.44,0.6339285714285714,0.238,0.34285714285714286,0.786,0.26964285714285713,0.187,4,5,8,102.4,0.27399999999999997,0.23035714285714284,0.555,0.3339285714285714,0.09699999999999999,0.09107142857142857,0.6089285714285714,0.538,1.3267857142857142,0.454,0.6017857142857143,0.289,0.38392857142857145,0.674,0.25892857142857145,0.195,0.317,0.24821428571428572,0.39285714285714285,1.6875,0.096,0.16071428571428573,0.464,0.6160714285714286,0.365,0.225,0.7107142857142857,0.53,0.3767857142857143,0.529,0.8571428571428571,0.559,0.213,0.4089285714285714,66.8,0.3892857142857143,1.7107142857142856,2.19,0.12,0.2,1.26,0.345,0.49642857142857144,0.349,0.1732142857142857,0.9428571428571428,0.489,0.4607142857142857,0.47100000000000003,0.7642857142857142,0.534,0.158,0.3,0.429,6
UCLA,UCLA,0.524,0.3865168539325843,0,3,0.11599999999999999,0.10337078651685393,0.6719101123595506,0.522,1.6134831460674157,0.457,0.7370786516853932,0.273,0.4404494382022472,0.694,0.3056179775280899,0.189,0,6,1,114.2,0.335,0.31235955056179776,0.515,0.3056179775280899,0.055,0.058426966292134834,0.6202247191011236,0.478,1.4157303370786516,0.419,0.5932584269662922,0.271,0.3842696629213483,0.69,0.2651685393258427,0.187,0.213,0.18202247191011237,0.42696629213483145,1.6179775280898876,0.075,0.1303370786516854,0.368,0.5213483146067416,0.319,0.1662921348314607,0.8943820224719101,0.477,0.42696629213483145,0.449,0.802247191011236,0.506,0.16699999999999998,0.32134831460674157,69.7,0.39101123595505616,1.9910112359550562,18.94,0.08800000000000001,0.15280898876404495,3.85,0.344,0.5550561797752809,0.381,0.21123595505617979,1.0584269662921348,0.497,0.5258426966292135,0.551,0.9842696629213483,0.546,0.11599999999999999,0.23820224719101124,0.909,10
UTAH-STATE,UTAH-STATE,0.6609999999999999,0.45190839694656487,3,2,0.046,0.03816793893129771,0.6763358778625954,0.559,1.4106870229007633,0.485,0.683969465648855,0.306,0.43206106870229005,0.742,0.32061068702290074,0.227,2,4,6,110.1,0.256,0.2,0.599,0.3603053435114504,0.079,0.06564885496183206,0.5816793893129771,0.49,1.4458015267175572,0.416,0.601526717557252,0.261,0.37709923664122136,0.765,0.2885496183206107,0.2,0.239,0.21221374045801528,0.42442748091603055,1.7068702290076336,0.08900000000000001,0.15419847328244274,0.432,0.6244274809160305,0.345,0.2152671755725191,0.8213740458015267,0.47,0.38625954198473283,0.475,0.7938931297709924,0.525,0.161,0.3114503816793893,69.0,0.39236641221374047,1.8977099236641222,9.03,0.096,0.1648854961832061,2.7,0.411,0.5801526717557252,0.361,0.20916030534351146,0.8305343511450382,0.572,0.47480916030534354,0.525,0.8763358778625954,0.587,0.16,0.3083969465648855,0.625,10
UTAH-VALLEY,UTAH-VALLEY,0.594,0.3878787878787879,4,3,0.11599999999999999,0.10909090909090909,0.7348484848484849,0.529,1.393939393939394,0.468,0.6530303030303031,0.347,0.48333333333333334,0.721,0.3484848484848485,0.25,1,6,5,104.9,0.32,0.26212121212121214,0.514,0.3,0.081,0.07575757575757576,0.556060606060606,0.44,1.5075757575757576,0.387,0.5833333333333334,0.242,0.36515151515151517,0.705,0.25757575757575757,0.171,0.242,0.23484848484848486,0.46515151515151515,1.5833333333333333,0.111,0.19242424242424241,0.374,0.5636363636363636,0.282,0.1590909090909091,0.943939393939394,0.449,0.42424242424242425,0.442,0.7909090909090909,0.471,0.14800000000000002,0.2924242424242424,69.6,0.3878787878787879,1.8242424242424242,6.13,0.08,0.1393939393939394,0.2,0.333,0.4636363636363636,0.366,0.1696969696969697,0.9303030303030303,0.52,0.48333333333333334,0.5579999999999999,0.996969696969697,0.562,0.18899999999999997,0.3787878787878788,0.688,11
UTAH,UTAH,0.578,0.3578125,4,0,0.08,0.08125,0.690625,0.492,1.453125,0.426,0.61875,0.317,0.4609375,0.786,0.3625,0.249,3,6,8,106.0,0.312,0.2796875,0.46,0.2953125,0.10400000000000001,0.090625,0.6171875,0.473,1.5140625,0.424,0.6421875,0.283,0.428125,0.672,0.2875,0.19,0.275,0.2625,0.4515625,1.7203125,0.10300000000000001,0.1734375,0.325,0.4921875,0.302,0.1484375,1.021875,0.483,0.49375,0.47600000000000003,0.8796875,0.501,0.11699999999999999,0.2265625,67.6,0.4015625,1.7921875,6.61,0.061,0.103125,3.73,0.398,0.578125,0.332,0.1921875,0.875,0.487,0.4265625,0.524,0.9703125,0.536,0.155,0.30625,0.5,8
VALPARAISO,VALPARAISO,0.517,0.3414285714285714,4,1,0.081,0.07428571428571429,0.6571428571428571,0.542,1.4028571428571428,0.47,0.66,0.243,0.3414285714285714,0.749,0.2557142857142857,0.182,4,5,9,104.1,0.172,0.13285714285714287,0.474,0.2985714285714286,0.073,0.06,0.6385714285714286,0.506,1.42,0.444,0.63,0.241,0.34285714285714286,0.708,0.24285714285714285,0.171,0.21899999999999997,0.18428571428571427,0.3171428571428571,1.68,0.083,0.14142857142857143,0.357,0.5071428571428571,0.349,0.17714285714285713,0.9128571428571428,0.496,0.45285714285714285,0.51,0.8228571428571428,0.531,0.163,0.30857142857142855,68.3,0.33285714285714285,1.7771428571428571,-0.53,0.10400000000000001,0.17714285714285713,0.27,0.418,0.5857142857142857,0.344,0.20142857142857143,0.8171428571428572,0.561,0.4585714285714286,0.49,0.79,0.568,0.149,0.2742857142857143,0.471,8
VANDERBILT,VANDERBILT,0.46299999999999997,0.2694214876033058,1,3,0.099,0.07603305785123966,0.6,0.48,1.4231404958677687,0.409,0.5818181818181818,0.359,0.5107438016528926,0.722,0.3685950413223141,0.259,5,5,6,101.9,0.306,0.27768595041322314,0.5489999999999999,0.30413223140495865,0.11699999999999999,0.09090909090909091,0.6297520661157024,0.481,1.3322314049586776,0.416,0.5537190082644629,0.3,0.4,0.727,0.2909090909090909,0.218,0.27399999999999997,0.22644628099173553,0.4826446280991736,1.5735537190082645,0.085,0.14545454545454545,0.423,0.5636363636363636,0.311,0.17520661157024794,0.768595041322314,0.492,0.3785123966942149,0.494,0.856198347107438,0.517,0.21100000000000002,0.4066115702479339,68.1,0.41487603305785126,1.7355371900826446,9.18,0.114,0.1933884297520661,2.65,0.455,0.6479338842975206,0.314,0.20330578512396694,0.775206611570248,0.488,0.3785123966942149,0.506,0.8776859504132232,0.521,0.159,0.3140495867768595,0.6,9
VERMONT,VERMONT,0.532,0.3375,3,2,0.091,0.07142857142857142,0.6714285714285714,0.532,1.3767857142857143,0.46,0.6339285714285714,0.27,0.37142857142857144,0.736,0.2732142857142857,0.198,0,6,4,107.0,0.207,0.16071428571428573,0.445,0.24642857142857144,0.086,0.06607142857142857,0.6160714285714286,0.481,1.3464285714285715,0.411,0.5535714285714286,0.243,0.3267857142857143,0.705,0.23035714285714284,0.171,0.188,0.15535714285714286,0.4089285714285714,1.525,0.075,0.12142857142857143,0.419,0.5642857142857143,0.332,0.1875,0.7821428571428571,0.468,0.36607142857142855,0.48100000000000004,0.7714285714285715,0.508,0.156,0.2785714285714286,65.0,0.3607142857142857,1.7392857142857143,6.72,0.075,0.12142857142857143,0.02,0.442,0.6089285714285714,0.326,0.1982142857142857,0.7678571428571429,0.567,0.4357142857142857,0.519,0.8321428571428572,0.56,0.13,0.23214285714285715,0.714,10
VILLANOVA,VILLANOVA,0.51,0.31317829457364343,3,4,0.07,0.05426356589147287,0.6341085271317829,0.508,1.4372093023255814,0.427,0.6139534883720931,0.292,0.4201550387596899,0.808,0.3395348837209302,0.236,0,5,4,112.5,0.312,0.2651162790697674,0.48100000000000004,0.262015503875969,0.086,0.06666666666666667,0.5844961240310077,0.468,1.3472868217054264,0.404,0.5441860465116279,0.264,0.3550387596899225,0.747,0.2651162790697674,0.197,0.26,0.22325581395348837,0.4201550387596899,1.5255813953488373,0.063,0.10077519379844961,0.426,0.5736434108527132,0.3,0.17209302325581396,0.7736434108527132,0.481,0.37209302325581395,0.473,0.8077519379844961,0.503,0.168,0.3054263565891473,64.0,0.39689922480620154,1.8,20.68,0.095,0.15193798449612403,9.62,0.463,0.6651162790697674,0.35,0.23255813953488372,0.772093023255814,0.494,0.3813953488372093,0.527,0.8992248062015504,0.55,0.124,0.2310077519379845,0.75,12
